Name,Type,Role,Country,Description,Supporting_Text
"Mexico","Government","Supported the World Bank’s 2010 initiative to develop a natural‑wealth accounting framework.","Mexico","Sovereign state in North America.","In 2010 the World Bank launched a plan, backed by India, Mexico and a number of other countries, to create an accounting measure that puts the natural wealth of nations alongside financial measurements such as GDP."
"Beaver Committee","Organization","Provided an early monetary estimate of environmental damage to support policy action on air pollution.","None","A committee that conducted an early economic costing of air‑pollution damage in the mid‑1950s.","An early attempt at costing the damage caused by air pollution was made by the Beaver Committee in the mid-1950s"
"Environmental Protection Agency (EPA)","Government","Uses cost‑benefit analysis to evaluate environmental regulations and policies.","USA","U.S. federal agency responsible for environmental regulation and protection.","Agencies responsible for environmental regulations such as the EPA in the USA have used cost-benefit analysis extensively"
"Roskill Commission","Government","Applied social cost‑benefit analysis to justify the location of a new runway, highlighting challenges of valuing environmental impacts.","United Kingdom","A UK government‑appointed commission that examined options for a third runway at London Heathrow in the early 1970s.","When the Roskill Commission proposed a location for a third runway in London in the early 1970s, it used social cost-benefit analysis to support its case."
"Nicholas Georgescu‑Roegen","Individual","Criticised the reliance on price mechanisms for solving environmental problems, influencing ecological economics debates.","USA","Romanian‑American economist known for his critique of applying pure economic methods to environmental policy.","Georgescu‑Roegen was among those who challenged this emphasis on using economic methods to solve environmental policy questions"
"John Holdren","Individual","Advocated for recognizing ecosystem functions as public services, shaping early ecosystem‑services discourse.","USA","American scientist and policy advisor who, together with Paul Ehrlich, promoted the concept of public service functions of the environment.","Holdren and Ehrlich advocated this idea and in an article for American Scientist described the 'public service functions of the environment'."
"Paul Ehrlich","Individual","Co‑advocated the framing of ecosystem functions as public services, influencing later ecosystem‑services frameworks.","USA","American biologist and author who co‑advocated the public service functions of the environment with John Holdren.","Holdren and Ehrlich advocated this idea and in an article for American Scientist described the 'public service functions of the environment'."
"Robert Costanza","Individual","Estimated the monetary value of ecosystem services worldwide, providing a high‑profile quantification of nature’s economic contribution.","USA","Ecological economist who, with colleagues, produced a landmark valuation of global ecosystem services in the late 1980s.","However, in the late 1980s Robert Costanza and colleagues attempted to estimate the value of ecosystem services provided by the Earth's biosphere."
"Massachusetts Institute of Technology (MIT)","Organization","Generated one of the first systematic descriptions of environmental services, seeding the ecosystem‑services concept.","USA","Leading research university in the United States that produced an early report on environmental services in 1970.","An 1970 MIT report of the Study of Critical Environmental Problems, entitled Man's Impact on the Global Environment: Assessment and Recommendations for Action, described nine 'environmental services' that would decline if the functioning of ecosystems were damaged."
"Sir Nicholas Stern","Individual","Provided a high‑profile economic analysis that framed climate change as a massive market failure, influencing international debate and policy discussions on valuing nature and future generations.","United Kingdom","British economist and author of the 2006 Stern Review on the economics of climate change.","In his review of the economics of climate change, Sir Nicholas Stern (b. 1946) described climate change as 'market failure on the greatest scale the world has seen'. The 2006 Stern Review is the most high‑profile example of economic theory presenting the case for environmental action."
"William Nordhaus","Individual","Advanced an alternative economic perspective using higher discount rates, arguing that early climate action may be less cost‑effective, thereby shaping scholarly and policy debates on climate valuation.","United States","American economist known for his work on climate economics and discounting.","Some economists, such as William Nordhaus (b. 1941), use much higher discount rates that lead them to conclude that Stern's approach is inefficient because early action is more expensive than necessary."
"European Union","Government","Implemented a continent‑wide emissions trading scheme, creating a market mechanism to price carbon and incentivize reductions in greenhouse‑gas emissions.","European Union","Supranational political and economic union of European member states.","The EU has established an emissions trading scheme, and the Kyoto Protocol allows for the purchase of emissions‑reduction credits through the Clean Development Mechanism."
"United Nations Environment Programme (UNEP)","Organization","Produced a 2010 report quantifying corporate environmental damage, highlighting the scale of ecological liabilities and informing calls for greater corporate accountability.","International","UN agency that coordinates global environmental assessments and policy guidance.","In 2010, a UNEP report estimated that 3000 listed companies were responsible for US$2.15 trillion worth of environmental damage in 2008, equivalent to 7 per cent of their combined revenues."
"BP","Organization","Served as a high‑profile example of corporate ecological liability through the costly cleanup of the Deepwater Horizon oil spill, illustrating the financial impact of environmental damage.","United Kingdom","British multinational oil and gas company.","The costs incurred by the global oil and gas company BP in cleaning up the 2010 Deepwater Horizon oil spill in the Gulf of Mexico illustrate the real‑world economic impact of ecological liabilities."
"Garrett Hardin","Individual","Introduced a foundational theory on the over‑use of shared resources, shaping environmental discourse on common‑pool management and the need for collective governance.","United States","American ecologist and author of the ‘tragedy of the commons’ concept.","In 1967, Garrett Hardin (1915-2003) developed the notion of the 'tragedy of the commons' where he used the analogy of common grazing land to illustrate that sharing common resources leads to over‑use."
"Garrett Hardin","Individual","His ideas have been used to support the privatisation of commonly owned resources, influencing debates on common‑pool resource governance.","United States","American ecologist and author of the “Tragedy of the Commons” essay.","Hardin's ideas have been used to support the privatisation of commonly owned resources."
"Evo Morales","Individual","Led protests against water privatisation in Cochabamba, which contributed to a political upheaval and his electoral victory in 2003.","Bolivia","Bolivian politician and indigenous peoples' leader who later became president of Bolivia.","When a privately run water company increased the price of water and sanitation in the Bolivian town of Cochabamba, this set in motion a chain of protests against privatisation and a political upheaval that swept the indigenous people's leader Evo Morales (b. 1959) to electoral victory in 2003."
"Elinor Ostrom","Individual","Criticised Hardin’s arguments and advocated for durable, cooperative institutions governed by resource users themselves.","United States","Nobel‑Prize‑winning economist known for her work on the governance of common‑pool resources.","The Nobel Prize-winning economist Elinor Ostrom (b. 1933) has argued that Hardin's work has been used to rationalise central government control of all common pool resources such as fisheries, groundwater basins and irrigation systems, and to paint a disempowering and pessimistic picture of the human..."
"Franklin D. Roosevelt","Individual","Cited as a historical precedent for large‑scale economic stimulus programmes such as the Global Green New Deal.","United States","32nd President of the United States (1933‑1945) who introduced the New Deal.","US President Franklin D. Roosevelt's (1882-1945) response to the 1929 Great Depression was a series of economic programmes called the New Deal, which focused on relief, recovery and reform."
"United Nations Environment Programme (UNEP)","Organization","Instigated the Global Green New Deal (GGND) initiative in December 2008, proposing an economic stimulus package aimed at environmental recovery and poverty reduction.","International","UN agency coordinating global environmental policy and programmes.","Following in his footsteps, UNEP instigated the Global Green New Deal (GGND) initiative in December 2008."
"World Bank","Organization","Supported a shift toward large‑scale private‑sector water resource management in the developing world.","International","International financial institution that provides loans and advice to developing countries.","the World Bank and others have supported a move towards large-scale private sector water resource management."
"Gordon Brown","Individual","Hosted the G20 London Summit in April 2009 to discuss the international response to the financial crisis and the green growth agenda.","United Kingdom","Then Labour Prime Minister of the United Kingdom (born 1951).","UK's then Labour Prime Minister Gordon Brown (b. 1951) held the G20 London Summit to discuss the international response to the financial crisis."
"G20","Coalition","Pledged to enhance global climate initiatives, improve energy security, phase out fossil fuel subsidies, and support green stimulus measures.","None","A forum of the world’s major economies that coordinates policy responses.","At the September 2009 Pittsburgh Summit, the G20 further pledged to enhance global climate change initiatives, improve energy security and phase out fossil fuel subsidies as well as reduce the vulnerability of the world's poor."
"United Kingdom","Government","Allocated roughly 11 % of its fiscal stimulus to green investments and launched a ‘Green economy’ budget in April 2009.","United Kingdom","National government of the United Kingdom.","The UK devoted approximately 11 per cent of its US$3.9 billion fiscal stimulus to green investments as well as launching a 'Green economy' budget in April 2009."
"United States of America","Government","Adopted the American Recovery and Reinvestment Act, which included measures for retrofitting buildings, expanding mass transit, renewable energy, and a smart grid.","United States","National government of the United States.","In February 2009, the USA adopted a US$78.5 billion American Recovery and Reinvestment Act, which included measures to retrofit buildings and expand mass transit, freight rail and renewable energy as well as construct a 'smart' electrical grid transmission system."
"China","Government","Allocated 3 % of its GDP to green stimulus, positioning itself for competitiveness in clean technology and reducing dependence on foreign oil.","China","National government of the People’s Republic of China.","Only China (3 per cent) ... devoted a sizeable proportion of fiscal spending to a green stimulus, ... ensuring they are better placed to be competitive in the clean technology market and to reduce their national deficits and dependency on foreign oil."
"South Korea","Government","Allocated 5 % of its GDP to green stimulus, using it as a long‑term commitment to clean technology and energy security.","South Korea","National government of the Republic of Korea.","Only China (3 per cent) and South Korea (5 per cent) devoted a sizeable proportion of fiscal spending to a green stimulus, followed by the EU (0.9 per cent) and the USA (0.9 per cent)."
"European Union","Organization","Contributed 0.9 % of its GDP to green stimulus as part of the G20 collective effort.","None","Supranational political and economic union of European member states.","followed by the EU (0.9 per cent) and the USA (0.9 per cent)."
"Edward B. Barbier","Individual","Critiqued the G20 for not delivering a worldwide green recovery and called for measures to reduce market distortions and improve environmental pricing.","None","Consultant on the Green Growth and Development (GGND) agenda.","Edward B. Barbier, a consultant on the GGND, has argued that the G20 failed to instigate a worldwide green recovery, and called for further measures to reduce market distortions such as the fossil fuel subsidies and develop effective environmental pricing policies and regulations."
"United Nations Environment Programme (UNEP)","Organization","Published the report ‘Towards a Green Economy: Pathways to Sustainable Development and Poverty Eradication’ to advocate green investment worldwide and support preparations for Rio+20.","None","UN agency that coordinates global environmental activities and policy advice.","In February 2011, UNEP published Towards a Green Economy: Pathways to Sustainable Development and Poverty Eradication, which further advocated green investment on a global scale."
"Pavan Sukhdev","Individual","Described global fossil fuel subsidies as a ‘gross misallocation of capital’ and promoted investment of 2 % of global GDP in green sectors.","None","Head of UNEP’s green economy work.","Pavan Sukhdev, head of UNEP's green economy work, described existing economic measures, such as the US$600 billion a year spent on global fossil fuel subsidies, as a 'gross misallocation of capital'."
"World Bank","Organization","Acts as a key test of acceptance for persuasive green‑economy ideas; its actions can validate or block the adoption of policies that account for nature’s wellbeing.","International","A multinational financial institution that funds development projects worldwide.","multinational institutions such as the World Bank"
"Brazil","Government","Invests heavily in green energy, demonstrating governmental commitment to linking the green economy with poverty reduction and ecological sustainability.","Brazil","One of the leading global economies mentioned as investing heavily in the green energy sector.","Leading global economies such as Brazil and China are already investing heavily in the green energy sector."
"China","Government","Invests heavily in green energy, showcasing governmental action toward integrating ecological goals with economic development.","China","One of the leading global economies mentioned as investing heavily in the green energy sector.","Leading global economies such as Brazil and China are already investing heavily in the green energy sector."
"Tim Jackson","Individual","Advocates for a different kind of economy that prioritises ecological limits and human flourishing, influencing the discourse on decoupling growth from environmental degradation.","None","Author of *Prosperity Without Growth* (2009) and a prominent scholar in ecological economics.","In Prosperity Without Growth (2009), Tim Jackson argues that a different kind of economy is essential for a different kind of prosperity"
"Ralph Nader","Individual","Published a seminal book that exposed the car industry's resistance to reducing vehicle pollution and improving safety, sparking consumer‑advocacy movements that link transportation to environmental health.","United States","American consumer advocate and author of *Unsafe at Any Speed* (1965).","In 1965, Ralph Nader (b. 1934) published Unsafe at Any Speed, which examined the reluctance of the car industry to improve both vehicle pollution and safety."
"Victor Lebow","Individual","Highlighted how television became a ‘powerful weapon’ for producers, shaping consumer habits that later intersect with environmental consumption patterns.","United States","Marketing consultant and author who wrote about the power of television advertising.","Writing in the 1955 Journal of Retailing, marketing consultant Victor Lebow acknowledged that television was a 'powerful weapon' for producers."
"British Broadcasting Corporation (BBC)","Organization","Controlled the early TV landscape in Britain, influencing public exposure to environmental and consumer messages before commercial competition emerged.","United Kingdom","The United Kingdom’s public service broadcaster that held a monopoly over television broadcasting until the mid‑1950s.","Two years later, the BBC's monopoly of television came to an end when the first independent television station, ITV, went on air."
"Independent Television (ITV)","Organization","Introduced television advertising to British audiences, accelerating consumer culture and the marketing of environmentally relevant products and messages.","United Kingdom","The first independent commercial television network in the United Kingdom.","ITV introduced television advertising to a British audience."
"Bulova","Organization","Pioneered TV advertising, exemplifying how commercial media began shaping consumer preferences that later intersect with environmental concerns.","United States","American watchmaker whose advertisement was the first televised commercial in the United States.","The first US television advertisement, for watchmaker Bulova, had been broadcast twelve years earlier and an industry was already developing around this advertising medium."
"Post‑war Labour government (United Kingdom)","Government","Continued wartime rationing policies into the post‑war era, influencing public attitudes toward resource scarcity and laying groundwork for later environmental awareness.","United Kingdom","The UK Labour administration that governed Britain in the immediate post‑World War II period.","As European countries began to rebuild their economies, the post‑war Labour government continued rationing, and it was not until July 1954 that all food rationing in the UK came to an end."
"J. K. Galbraith","Individual","Highlighted the imbalance between private wealth and environmental effects, helping to raise early academic and public awareness of consumption‑driven ecological damage.","United States","American economist and author of *The Affluent Society* (1956).","The economist J. K. Galbraith (1908-2006) eloquently identified the imbalance between the new-found private wealth and its environmental effects in his book The Affluent Society (1956)."
"Gaylord Nelson","Individual","Proposed the first Earth Day on 22 April 1970, catalyzing a nationwide teach‑in and mass participation that embedded environmental issues in public consciousness.","United States","U.S. Senator from Wisconsin (1916‑2005) and environmental advocate.","A year after the moon landing, US senator Gaylord Nelson (1916-2005) proposed the first Earth Day on 22 April 1970."
"Richard Nixon","Individual","Acknowledged growing public awareness of environmental problems in his first State of the Union address, signaling federal recognition of the issue.","United States","42nd President of the United States (1913‑1994).","After Earth Day, US President Richard Nixon (1913-94), in his first State of the Union address, acknowledged a growing public awareness of environmental issues when he stated:"
"Sir Fred Hoyle","Individual","Predicted that seeing Earth from space would permanently change humanity’s perspective, influencing the emerging environmental worldview.","United Kingdom","British astronomer and author (1915‑2001).","Twenty-four years earlier, British astronomer Sir Fred Hoyle (1915-2001) had predicted that, when spaceflight enabled us to see the whole of Earth from space, the view would change us forever."
"CBS News","Organization","Produced the primetime special report “Earth Day: A Question of Survival,” disseminating information about the inaugural Earth Day to a wide audience.","United States","American television news division of the Columbia Broadcasting System.","Media coverage included a primetime CBS News Special Report called Earth Day: A Question of Survival."
"Keep America Beautiful (KAB)","Organization","Launched the iconic 'Crying Indian' campaign (1971) and later the Clean Community System; publicly opposed state bottle‑deposit bills to shape litter‑control policy.","United States","A U.S. nonprofit founded in 1953 by corporate and civic leaders to promote a national cleanliness ethic and reduce litter through public education and advertising.","In 1971, Keep America Beautiful (KAB) launched the 'Crying Indian' public announcement campaign... KAB was founded in 1953 by a group of US corporate and civic leaders... In 1974, the State of California proposed a similar bill but KAB publicly opposed it, and a year later launched the Clean Communi..."
"State of Oregon","Government","Passed the landmark Bottle Bill in 1971, establishing a deposit system to reduce litter and conserve resources.","United States","The U.S. state government of Oregon.","the State of Oregon's landmark Bottle Bill became law in spite of intense lobbying by container and beverage industries."
"State of California","Government","Proposed a bottle‑deposit bill in 1974 that was publicly opposed by Keep America Beautiful.","United States","The U.S. state government of California.","In 1974, the State of California proposed a similar bill but KAB publicly opposed it..."
"Ecology Center","Organization","Launched a recycling demonstration project in 1973 that became a model for municipal recycling programmes.","United States","A U.S. action‑oriented environmental organization based in Berkeley, California.","In 1973, the Ecology Center, a US action‑orientated organisation, launched a recycling demonstration project in Berkeley, California collecting newspapers..."
"Stanley Race","Individual","Introduced the UK’s first bottle bank in Barnsley, South Yorkshire, to demonstrate the viability of glass recycling.","United Kingdom","President of the Glass Manufacturers' Federation in the United Kingdom during the late 1970s.","the bottle bank was introduced by Stanley Race, then president of the Glass Manufacturers' Federation..."
"Glass Manufacturers' Federation","Organization","Supported the introduction of the first bottle bank in Barnsley and promoted glass recycling initiatives.","United Kingdom","A UK industry association representing glass manufacturers.","the bottle bank was introduced by Stanley Race, then president of the Glass Manufacturers' Federation..."
"South Yorkshire County Council","Government","Set the trend for glass recycling in the UK by operating the Barnsley bottle bank and collecting 5,000 tonnes of glass in six months.","United Kingdom","The former county council governing South Yorkshire, England.","South Yorkshire County Council went on to set the trend for glass recycling in the UK."
"German Green Party","Organization","Mobilised thousands of elected local councillors in the 1980s to establish kerbside recycling collections across Germany.","Germany","A political party in Germany focused on environmental issues and sustainability.","The German Green Party had thousands of elected local councillors who worked to establish kerbside recycling collections."
"Organization of the Petroleum Exporting Countries (OPEC)","Organization","Its oil export embargo triggered an oil crisis that raised public attention to energy use and spurred governmental energy‑conservation campaigns.","International","International intergovernmental organization of oil-exporting countries.","the Organization of the Petroleum Exporting Countries (OPEC)"
"UK Government","Government","Introduced national energy‑conservation campaigns such as the 'Save it' and 'Are you doing your bit?' campaigns to promote public energy saving.","United Kingdom","The central government of the United Kingdom.","the government to introduce a national 'Save it' campaign"
"British Gas","Organization","Example of a privatised British industry that contributed to the shift toward consumer‑driven market decisions.","United Kingdom","Former state‑owned utility company in the United Kingdom, privatised in the 1980s.","British Gas"
"British Telecom","Organization","Illustrates the broader privatisation of British industries that underpinned the rise of consumer sovereignty.","United Kingdom","Former state‑owned telecommunications company in the United Kingdom, privatised in the 1980s.","British Telecom"
"British Rail","Organization","Part of the suite of privatised British industries that shifted responsibility for environmental outcomes toward individual consumers.","United Kingdom","Former state‑owned railway operator in the United Kingdom, privatised in the 1980s.","British Rail"
"Barclays Bank","Organization","Withdrew from South Africa after international boycotts, demonstrating the impact of consumer‑led ethical campaigns on corporate behaviour.","United Kingdom","Major British multinational bank.","Barclays Bank pulling out of South Africa"
"Benetton","Organization","Ceased animal testing in response to environmental campaign group boycotts, showing corporate change driven by consumer activism.","Italy","Italian clothing company.","Benetton clothing company stopping animal testing"
"Nestlé","Organization","Adopted an international code for marketing baby‑milk substitutes after pressure from consumer and environmental campaigns.","Switzerland","Swiss multinational food and beverage corporation.","Nestlé adopting an international code when marketing baby milk substitutes"
"Friends of the Earth UK (UK FoE)","NGO","Published consumer‑awareness pamphlets, organised boycotts of CFC‑based aerosols, and influenced manufacturers to phase out CFCs.","United Kingdom","British environmental non‑governmental organisation.","the UK FoE published a pamphlet"
"Jonathon Porritt","Individual","Commented on the power of consumer awareness and highlighted the influence of high‑profile figures on industry behaviour.","United Kingdom","British environmentalist and former Director of Friends of the Earth UK.","the FoE Director, Jonathon Porritt (b. 1950)"
"Prince of Wales","Individual","Publicly announced personal ban on aerosols, signalling to manufacturers that consumer pressure could affect sales.","United Kingdom","Title of the heir apparent to the British throne (Charles III at the time of the text).","the Prince of Wales declared that he had banned all aerosols from his household"
"John Elkington","Individual","Co‑authored *The Green Consumer Guide*, promoting green consumerism and encouraging individuals to use purchasing power for environmental outcomes.","United Kingdom","British sustainability author and business strategist.","John Elkington (b. 1949)"
"Julia Hailes","Individual","Co‑authored *The Green Consumer Guide*, helping to popularise green consumer choices.","United Kingdom","British author and environmental campaigner.","Julia Hailes (b. 1961)"
"Margaret Thatcher","Individual","Implemented deregulation policies that reshaped markets, indirectly influencing the context in which green consumerism emerged.","United Kingdom","Prime Minister of the United Kingdom (1979‑1990).","UK Prime Minister Margaret Thatcher"
"Ronald Reagan","Individual","Implemented deregulation policies alongside the UK, contributing to the broader economic environment that facilitated consumer‑driven environmental activism.","United States","President of the United States (1981‑1989).","US President Ronald Reagan"
"EDF","NGO","Joined other environmental groups in a consumer‑action campaign targeting McDonald's for its waste production.","United States","U.S. environmental group (Environmental Defense Fund) that campaigns on environmental issues.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"Earth Action Network","NGO","Participated in the 1988 consumer‑action campaign against McDonald's over non‑recyclable waste.","United States","U.S. environmental organization that coordinates activism and policy advocacy.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"Kids Against Pollution","NGO","Co‑led the 1988 campaign that sent back used McDonald's wrappers and organized school‑children demonstrations.","United States","Youth‑focused environmental advocacy group in the United States.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"McDonald's","Organization","Target of consumer‑action campaigns that pressured the company to replace polystyrene clamshells with paper‑based packaging.","United States","The largest U.S. fast‑food chain, known globally for its hamburgers and fries.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"Anita Roddick","Individual","Founded The Body Shop in 1976, establishing a brand that linked natural beauty products with environmental activism.","United Kingdom","British entrepreneur and founder of The Body Shop, a pioneer of ethical retail.","In 1976, Anita Roddick (1942-2007) founded The Body Shop in Brighton, UK to sell natural beauty products."
"The Body Shop","Organization","Sponsored Greenpeace posters, supported community‑trade products, and launched a ‘Save the whale’ window campaign in collaboration with Greenpeace.","United Kingdom","International cosmetics retailer founded in the UK, known for its ethical sourcing and environmental campaigns.","The Body Shop appealed to the environmentally conscious consumer by sponsoring Greenpeace posters and supporting community trade products."
"Greenpeace","NGO","Partnered with The Body Shop on the ‘Save the whale’ campaign and received sponsorship for its posters.","International","Global environmental organization that conducts campaigns on climate, oceans, forests and toxic pollution.","In 1986 it created its own window campaign, 'Save the whale', in collaboration with Greenpeace."
"European Union","Government","Introduced a voluntary Ecolabel scheme in 1992 to help consumers identify green products and encourage businesses to advertise environmental credentials.","European Union","Supranational political and economic union of European member states.","With a lack of standards, green‑minded consumers found it difficult to distinguish between superficially similar products... one way of addressing this was through labelling, and the EU introduced a voluntary Ecolabel scheme in 1992."
"Tesco","Organization","Announced in 2007 that it would label 70,000 products with carbon‑footprint details and cut store emissions by 75 %.","United Kingdom","British multinational supermarket chain, one of the largest retailers in the UK.","In 2007, Britain's leading businesses responded to a resurging green trend, with the supermarket chain Tesco announcing it would be labelling 70,000 products with details of its carbon footprint, and that it would cut carbon emissions from its stores by 75 per cent."
"Marks & Spencer","Organization","Launched a £200 million ‘Plan A’ programme aimed at achieving carbon neutrality through energy reduction and increased recycled‑material product lines.","United Kingdom","British multinational retailer known for clothing, food and home goods.","Marks & Spencer launched a £200 million 'Plan A' programme to make the company carbon neutral by cutting energy consumption and stocking more products from recycled materials."
"Fortune magazine","Organization","Provided data (via a 1989 Gallup poll) showing that a majority of its listed executives believed customers would pay more for recyclable packaging.","United States","American business publication that produces the Fortune 500 list and other industry rankings.","A 1989 Gallup poll found that 58 per cent of Fortune magazine's 500 list of business executives believed their customers would pay more for products with recyclable packaging or components."
"Jacques Cousteau","Individual","Raised public awareness of marine life through television, contributing to early environmental consciousness.","France","French oceanographer and filmmaker who hosted the 1966 US broadcast of *The Undersea World of Jacques Cousteau*.","The 1966 US broadcast of The Undersea World of Jacques Cousteau brought life under the seas to public attention for the very first time. Cousteau (1910-97) ..."
"David Bellamy","Individual","Helped popularise natural history on television, influencing public perception of nature.","United Kingdom","British TV botanist featured after Cousteau in the same era.","Cousteau (1910-97) was to be followed by UK TV botanist David Bellamy (b. 1933) ..."
"David Attenborough","Individual","Revolutionised viewers' perspectives of the natural world through groundbreaking documentaries.","United Kingdom","British naturalist and broadcaster who produced the 1979 documentary *Life on Earth*.","... and naturalist David Attenborough (b. 1926). In 1979, Attenborough produced a highly acclaimed documentary, Life on Earth ..."
"Paul Newman","Individual","Used celebrity status to draw attention to environmental activism during early Earth Day events.","United States","American actor who participated in the 1970 Earth Day celebration.","US actors Paul Newman (1925-2008) and Ali McGraw (b. 1939) took part in the 1970 Earth Day celebration at Union Square in New York City."
"Ali McGraw","Individual","Joined other celebrities in promoting environmental awareness at Earth Day.","United States","American actor who participated in the 1970 Earth Day celebration.","US actors Paul Newman (1925-2008) and Ali McGraw (b. 1939) took part in the 1970 Earth Day celebration at Union Square in New York City."
"Pete Seeger","Individual","Contributed musical performances to raise environmental consciousness.","United States","American folk singer who performed at an early Earth Day‑related event in Washington, DC.","Folk singer Pete Seeger (b. 1919) was one of a number of artists who performed at a similar event in Washington, DC."
"Sting","Individual","Mobilised celebrity influence and resources to support indigenous land rights and rainforest protection.","United Kingdom","British musician who founded the Rainforest Foundation International in 1989.","In 1989, British musician Sting (b. 1951) founded the Rainforest Foundation International with his wife Trudie Styler (b. 1954) and Belgian film-maker Jean-Pierre Dutilleux."
"Trudie Styler","Individual","Co‑founded an NGO that campaigns for rainforest and indigenous rights.","United Kingdom","British actress/producer and wife of Sting; co‑founder of the Rainforest Foundation International.","In 1989, British musician Sting (b. 1951) founded the Rainforest Foundation International with his wife Trudie Styler (b. 1954) ..."
"Jean-Pierre Dutilleux","Individual","Helped establish an NGO focused on rainforest conservation and indigenous advocacy.","Belgium","Belgian filmmaker who co‑founded the Rainforest Foundation International.","... and Belgian film-maker Jean-Pierre Dutilleux."
"Raoni Metuktire","Individual","Partnered with Sting and the Rainforest Foundation International to secure legal recognition of indigenous territory.","Brazil","Kayapo indigenous leader from Brazil who campaigned for land rights in the Amazon.","The Foundation responded to the request of Kayapo indigenous leader Raoni Metuktire, who joined Sting in an international campaign to support their fight for the right to own their own land in the Brazilian state of Amazonas."
"Rainforest Foundation International","NGO","Advocates for the rights of rainforest‑dependent peoples and works to protect forest ecosystems worldwide.","International","International non‑governmental organization founded by Sting, Trudie Styler and Jean‑Pierre Dutilleux.","In 1989, British musician Sting (b. 1951) founded the Rainforest Foundation International with his wife Trudie Styler (b. 1954) and Belgian film-maker Jean-Pierre Dutilleux."
"Julia Roberts","Individual","Used celebrity visibility to highlight climate change and promote sustainability messaging.","United States","American actress featured on the May 2006 *Vanity Fair* “Green Issue” cover.","The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961), and politicians Al Gore (b. 1948) and Robert Kennedy Jr (b. 1954)..."
"George Clooney","Individual","Helped draw public attention to environmental issues through high‑profile media exposure.","United States","American actor featured on the May 2006 *Vanity Fair* “Green Issue” cover.","The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961), and politicians Al Gore (b. 1948) and Robert Kennedy Jr (b. 1954)..."
"Al Gore","Individual","Advocated for climate action, produced the documentary *An Inconvenient Truth*, and used political stature to promote sustainability.","United States","Former U.S. Vice President and environmental advocate featured on the 2006 *Vanity Fair* “Green Issue”.","The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961), and politicians Al Gore (b. 1948) and Robert Kennedy Jr (b. 1954)..."
"Robert Kennedy Jr","Individual","Leveraged public platform to raise awareness of climate change and environmental justice.","United States","American environmental attorney and activist featured on the 2006 *Vanity Fair* “Green Issue”.","The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961), and politicians Al Gore (b. 1948) and Robert Kennedy Jr (b. 1954)..."
"Annie Leibovitz","Individual","Created iconic visual imagery linking celebrities with environmental messaging.","United States","American portrait photographer who shot the 2006 *Vanity Fair* “Green Issue” cover.","The four celebrities were photographed by American portrait photographer Annie Leibovitz (b. 1949) and posed Hollywood‑style in front of a mossy, ivied backdrop."
"Vanity Fair","Organization","Provided a mainstream media platform for celebrity‑driven environmental communication.","United States","U.S. magazine that published a dedicated “Green Issue” in May 2006 to highlight environmental concerns.","In May 2006, US Vanity Fair, a magazine of popular culture, fashion and politics, reflected popular environmental awareness when it published its 'Green Issue'."
"U.S. Democratic Party","Organization","Through its prominent members, the party has supported climate‑change advocacy and related media productions.","United States","American political party; Al Gore served as its Vice President.","In 2006, former US Democratic Party Vice President Al Gore's long-standing interest in environmental issues led him to produce the Oscar‑winning documentary An Inconvenient Truth."
"Leonardo DiCaprio","Individual","Used his celebrity platform to educate audiences about climate change, deforestation, and other environmental crises.","United States","American actor who produced and narrated the 2007 documentary *The 11th Hour*.","In 2007, US actor Leonardo DiCaprio (b. 1974) produced and narrated the feature film documentary The 11th Hour on the state of the natural environment."
"Franny Armstrong","Individual","Created a climate‑change narrative film to mobilise public concern and action.","United Kingdom","British environmental campaigner who produced the 2009 film *The Age of Stupid*.","In 2009 British environmental campaigner Franny Armstrong (b. 1972) produced the film The Age of Stupid..."
"Pete Postlethwaite","Individual","Portrayed a future devastated by climate change, helping to dramatise the urgency of environmental action.","United Kingdom","British actor who starred in *The Age of Stupid*.","The Age of Stupid stars British actor Pete Postlethwaite (1946-2011), who depicted a man living alone in the devastated world of 2055..."
"Al Gore","Individual","Initiated the global Live Earth concert series to promote large‑scale climate action.","United States","Former U.S. Vice President and climate advocate, known for the documentary *An Inconvenient Truth*.","Following on the success of An Inconvenient Truth, Gore set out to sell the importance of action on climate change on an epic scale through a global series of Live Earth concerts."
"Franny Armstrong","Individual","Founded the 10:10 campaign to encourage individuals, businesses and organisations to cut carbon emissions.","United Kingdom","Director of the documentary *The Age of Stupid* and climate campaigner.","The Age of Stupid's director Franny Armstrong also used her film as a starting point for further campaigning on climate change."
